Reference Year,Facility Description,Total Emissions Sum
2017,In-situ oil sands extraction,35820994.3519
2017,Mined oil sands extraction,32976906.7586
2018,In-situ oil sands extraction,38068636.9814
2018,Mined oil sands extraction,34376223.528
2019,In-situ oil sands extraction,38109671.177231
2019,Mined oil sands extraction,35715365.25
2020,In-situ oil sands extraction,36962718.207952
2020,Mined oil sands extraction,34905610.653
2021,In-situ oil sands extraction,40199614.211124
2021,Mined oil sands extraction,35481923.208
2022,In-situ oil sands extraction,40130049.98679
2022,Mined oil sands extraction,36389938.372999996
2023,In-situ oil sands extraction,41284684.34486
2023,Mined oil sands extraction,36336918.175
