Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Foothills Pipe Lines Ltd.,243466.855,12364.324,1668.175,0.0,0.0,0.0,257499.354
2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Nutrien,1015330.582,58013.93892,6592.12463,0.0,0.0,0.0,1079936.645
2023,Alberta Envirofuels,Alberta,Petrochemical Manufacturing,Keyera Corp,343296.5395,438.5794,1746.3765,0.0,0.0,0.0,345481.4954
2023,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,Pipeline Transportation of Natural Gas,Alliance Pipeline,522104.8744,17589.64382,2873.266475,0.0,0.0,0.0,542567.7846
2023,Alberta-Pacific Forest Industries Inc.,Alberta,Chemical Pulp Mills,Alberta-Pacific Forest Industries Inc.,156230.613,5574.3912,7726.2605,54.8216,0.0,0.0,169586.0863
2023,ATCO Pipelines - Transmission System,Alberta,Pipeline Transportation of Natural Gas,ATCO Gas and Pipelines,66028.0479,36405.754,889.3135,25.0055,0.0,0.0,103348.1209
2023,Battle River Generating Station,Alberta,Fossil-Fuel Electric Power Generation,Heartland Generation,903843.0703,519.722,1278.7045,0.0,0.0,0.0,905641.4968
2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),Brazeau Gas Plant,121924.7006,7683.174996,1823.727085,0.0,0.0,0.0,131431.6027
2023,Brazeau River Gas Plant,Alberta,Oil and gas extraction (except oil sands),Keyera Corp,44528.00509,1982.00268,355.1159,0.0,0.0,0.0,46865.12367
2023,Calgary Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Calgary Energy Centre No. 2 Inc,834143.3378,1633.4332,4178.5995,0.065136,0.0,0.0,839955.4356
2023,Canadian Fertilizers Limited,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Canadian Fertilizers Limited,1706520.422,460.6196,3867.94,0.0,0.0,0.0,1710848.982
2023,Cancarb Ltd.,Alberta,All Other Basic Inorganic Chemical Manufacturing,Cancarb Ltd.,136215.0721,281.8144,273.9835,0.0,0.0,3.572,136774.442
2023,"TransCanada Pipeline, Alberta System",Alberta,Pipeline Transportation of Natural Gas,NGTL GP Ltd. (as general partner on behalf of NGTL Limited Partnership),4459313.699,295739.164,30223.515,0.0,0.0,0.0,4785276.378
2023,Caribou North Comp Stn 11-08,Alberta,Oil and gas extraction (except oil sands),Cenovus,25300.44214,3124.6768,1662.0853,0.0,0.0,0.0,30087.20424
2023,Carseland Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Nutrien,551222.084,3788.74524,2216.26655,0.0,0.0,0.0,557227.0958
2023,Carseland Power Plant,Alberta,Fossil-Fuel Electric Power Generation,TransCanada Energy Ltd.,387182.1192,750.918,2300.624,0.0,0.0,0.0,390233.6612
2023,Orica Carseland,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Orica Canada Inc,488.473,0.8204,35841.886,0.0,0.0,0.0,36331.1794
2023,Cavalier Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Cavalier Energy Centre,293633.0503,822.0912,1548.3685,0.0,0.0,0.0,296003.51
2023,Christina Lake SAGD Bitumen Battery,Alberta,In-situ oil sands extraction,Cenovus Energy Inc.,3868642.055,8923.1436,9712.9337,0.0,0.0,0.0,3887278.131
2023,Electric Utility - Generation,Alberta,Fossil-Fuel Electric Power Generation,City of Medicine Hat,531664.302,5465.845056,3577.182,417.014,0.0,0.0,541124.343
2023,Clover Bar Energy Centre,Alberta,Fossil-Fuel Electric Power Generation,Clover Bar Energy Centre,362986.584,1035.104,1914.36,0.0,0.0,0.0,365936.048
2023,Cochrane Extraction Plant,Alberta,Oil and gas extraction (except oil sands),Cochrane Extraction Plant,457107.5201,5638.12648,2811.6712,3434.273,0.0,0.0,468991.5908
2023,Cold Lake,Alberta,In-situ oil sands extraction,Imperial Oil Resources Limited,5674724.894,9560.9444,26138.964,0.0,0.0,0.0,5710424.802
2023,ATCO Gas - Distribution System,Alberta,Natural Gas Distribution,ATCO Gas and Pipelines,57160.5447,108361.0724,277.3755,0.0,0.0,0.0,165798.9926
2023,East Calgary Landfill,Alberta,Waste Treatment and Disposal,City of Calgary,1046.0,39094.3084,37.153,0.0,0.0,0.0,40177.4614
2023,East Crossfield Gas Plant 9-14-28-1W5,Alberta,Oil and gas extraction (except oil sands),East Crossfield Gas Plant 9-14-28-1W5,57892.1644,4893.7224,390.875,0.0,0.0,0.0,63176.7618
2023,Edmonton Site,Alberta,Resin and Synthetic Rubber Manufacturing,Edmonton Site,24500.78,256.2,396.175,3167.6289,0.0,0.0,28320.7839
2023,Edmonton Refinery,Alberta,Petroleum Refineries,Suncor Energy Inc,1318286.78,4425.344,2328.025,190.41,0.0,0.0,1325230.559
2023,Edson Gas Plant,Alberta,Oil and gas extraction (except oil sands),Peyto Exploration and Development Corporation,149571.7212,15112.006,2138.52615,0.0,0.0,0.0,166822.2533
2023,Elmworth Gas Plant,Alberta,Oil and gas extraction (except oil sands),Cenovus,174143.714,7775.9486,1499.3329,0.0,0.0,0.0,183418.9955
2023,Empress Gas Plant,Alberta,Oil and gas extraction (except oil sands),Empress Gas Plant,65259.9827,4777.514644,319.06795,0.0,0.0,0.0,70356.5653
2023,Empress 6,Alberta,Oil and gas extraction (except oil sands),Empress 6,275979.016,1931.285328,1326.824525,0.0,0.0,0.0,279237.1259
2023,Exshaw Plant,Alberta,Lime Manufacturing,Graymont Western Canada Inc.,178521.7594,31.6204,263.41,0.0,0.0,0.0,178816.7898
2023,Exshaw Cement Plant,Alberta,Cement Manufacturing,Lafarge Canada,1193919.628,164.9984,1431.477,0.0,0.0,0.0,1195516.103
2023,Fort Saskatchewan,Alberta,Non-Ferrous Metal (except Aluminum) Smelting and Refining,Fort Saskatchewan,297360.6346,6796.16476,1015.5595,0.0,0.0,0.0,305172.3589
2023,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Alberta,Fossil-Fuel Electric Power Generation,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,450014.1255,861.973308,2323.412145,0.0,0.0,0.0,453199.5109
2023,Fort Saskatchewan Nitrogen Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Nutrien,545765.7571,13875.06792,1575.05135,0.0,0.0,0.0,561215.8764
2023,Fort Saskatchewan Storage and Fractionation,Alberta,Oil and gas extraction (except oil sands),Fort Saskatchewan Storage and Fractionation,103684.1009,425.26554,548.833815,0.0,0.0,0.0,104658.2002
2023,Fort Saskatchewan EOEG,Alberta,Other Basic Organic Chemical Manufacturing,MEGlobal Canada ULC,30553.215,3453.0776,0.212,0.0,0.0,0.0,34006.5046
2023,Genesee Thermal Generating Station,Alberta,Fossil-Fuel Electric Power Generation,CPC,7923108.904,3446.7132,33373.729,104.6384,0.0,0.0,7960033.985
2023,International Paper Canadian Pulp Holdings ULC,Alberta,Chemical Pulp Mills,International Paper Canadian Pulp Holdings ULC,112005.0058,39082.4756,4945.483,61.599651,0.0,0.0,156094.5641
2023,Hangingstone SAGD Demonstration Facility,Alberta,In-situ oil sands extraction,Hangingstone SAGD Demonstration Facility,210387.5211,747.894,1033.0495,0.0,0.0,0.0,212168.4646
2023,Hanlan Robb Gas Plant,Alberta,Oil and gas extraction (except oil sands),Hanlan Robb Gas Plant,157104.9066,208.7008,471.5145,0.0,0.0,0.0,157785.1219
2023,Harmattan Gas Processing Plant,Alberta,Oil and gas extraction (except oil sands),Harmattan Gas Processing Plant,374957.0303,12446.23016,5998.11335,0.0,0.0,0.0,393401.3738
2023,Hays Gas Plant 11-31-013-14 W4M,Alberta,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,34138.34486,1114.75364,299.47385,0.0,0.0,0.0,35552.57235
2023,"Hinton Pulp, a division of West Fraser Mills Ltd.",Alberta,Chemical Pulp Mills,West Fraser Mills Ltd.,124461.752,27353.62031,3238.86445,0.0,0.0,0.0,155054.2367
2023,Joffre LAO Plant,Alberta,Petrochemical Manufacturing,INEOS Canada Partnership,130630.6766,89.7848,777.457,0.0,0.0,0.0,131497.9184
2023,Judy Creek Gas Conservation Plant,Alberta,Oil and gas extraction (except oil sands),Conifer Energy Inc.,46188.29357,4873.7416,402.54825,0.0,0.0,0.0,51464.58342
2023,Karr 10-10-065-02 W6M,Alberta,Oil and gas extraction (except oil sands),Canadian Natural Resources Limited,65044.91704,5228.21852,3955.1462,0.0,0.0,0.0,74228.28176
2023,Kaybob Amalgamated Sour Gas Plant,Alberta,Oil and gas extraction (except oil sands),PGI Processing ULC,135172.9971,6349.000868,2214.827335,0.0,0.0,0.0,143736.8253
2023,Kaybob South #3 Gas Plant,Alberta,Oil and gas extraction (except oil sands),PGI Processing ULC,328025.3565,2106.413064,1576.574835,0.0,0.0,0.0,331708.3444
2023,Keephills Thermal Electric Power Generating Plant,Alberta,Fossil-Fuel Electric Power Generation,TransAlta Corporation,2740001.44,1486.826572,3827.210295,0.0,0.0,0.0,2745315.477
2023,Edmonton Plant,Alberta,Cement Manufacturing,Heidelberg Materials,606283.9285,123.977364,857.679125,0.0,0.0,0.0,607265.585
