Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,Division Alma,Quebec,Mechanical Pulp Mills,Resolute FP Canada Inc.,35709.49,16261.756,164.035,0.0,0.0,0.0,52135.281
2023,"Foothills Pipeline, Alberta",Alberta,Pipeline Transportation of Natural Gas,Foothills Pipe Lines Ltd.,243466.855,12364.324,1668.175,0.0,0.0,0.0,257499.354
2023,Kingston CoGen,Ontario,Fossil-Fuel Electric Power Generation,Kingston CoGen,934.2516,5.960444,6.105865,0.0,0.0,0.0,946.317909
2023,Redwater Fertilizer Operations,Alberta,Chemical Fertilizer (except Potash) Manufacturing,Nutrien,1015330.582,58013.93892,6592.12463,0.0,0.0,0.0,1079936.645
2023,Alberta Envirofuels,Alberta,Petrochemical Manufacturing,Keyera Corp,343296.5395,438.5794,1746.3765,0.0,0.0,0.0,345481.4954
2023,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,Pipeline Transportation of Natural Gas,Alliance Pipeline,522104.8744,17589.64382,2873.266475,0.0,0.0,0.0,542567.7846
2023,Alberta-Pacific Forest Industries Inc.,Alberta,Chemical Pulp Mills,Alberta-Pacific Forest Industries Inc.,156230.613,5574.3912,7726.2605,54.8216,0.0,0.0,169586.0863
2023,Rio Tinto Alcan Inc.,British Columbia,Primary Production of Alumina and Aluminum,Rio Tinto,712384.628,73.83236,284.14678,106.08,95787.6,517.0,809153.2871
2023,Algoma Steel Inc,Ontario,Iron and Steel Mills and Ferro-Alloy Manufacturing,Algoma Steel Inc.,4276836.1,11170.432,4159.6838,0.0,0.0,0.0,4292166.216
2023,Aluminerie Alouette inc.,Quebec,Primary Production of Alumina and Aluminum,Aluminerie Alouette inc.,1057955.7,46.9784,625.188,143.884,49447.7037,90.475,1108309.929
2023,Aluminerie de Baie-Comeau,Quebec,Primary Production of Alumina and Aluminum,Alcoa Canada Co.,521857.0,14.28,6770.485,56.257,9144.3,105.75,537948.072
2023,Aluminerie de Bécancour inc.,Quebec,Primary Production of Alumina and Aluminum,Aluminerie de Bécancour inc.,798279.0454,44.8224,608.7845,270.025853,20610.24,0.0,819812.9182
2023,ATCO Pipelines - Transmission System,Alberta,Pipeline Transportation of Natural Gas,ATCO Gas and Pipelines,66028.0479,36405.754,889.3135,25.0055,0.0,0.0,103348.1209
2023,Atikokan Generating Station,Ontario,Other Electric Power Generation,OPG,16543.93,315.28,1481.35,0.0,0.0,0.0,18340.56
2023,Battle River Generating Station,Alberta,Fossil-Fuel Electric Power Generation,Heartland Generation,903843.0703,519.722,1278.7045,0.0,0.0,0.0,905641.4968
2023,Bayside Power,New Brunswick,Fossil-Fuel Electric Power Generation,NB Power,557185.0525,3940.5324,3729.451,0.0,0.0,0.0,564855.0359
2023,Usine de Bedford,Quebec,Lime Manufacturing,Graymont (QC) Inc.,326944.6269,51.32778,401.864285,0.0,0.0,0.0,327397.819
2023,Belledune Generating Station,New Brunswick,Fossil-Fuel Electric Power Generation,NB Power,1580642.024,717.0184,5398.6595,0.0,0.0,0.0,1586757.703
2023,Boundary Dam Power Station,Saskatchewan,Fossil-Fuel Electric Power Generation,SaskPower,3398995.895,5118.953392,24562.57573,0.0,0.0,0.0,3428677.424
2023,Thunder Bay Operations,Ontario,Chemical Pulp Mills,Thunder Bay Operations,183736.0082,1471.86872,7936.05782,0.0,0.0,0.0,193143.9348
2023,Brady Road Resource Management Facility,Manitoba,Waste Treatment and Disposal,Water & Waste Department,0.0,499489.984,0.0,0.0,0.0,0.0,499489.984
2023,Brampton Assembly Plant,Ontario,Automobile and Light-Duty Motor Vehicle Manufacturing,FCA,62525.41905,34.12752,285.585465,0.0,0.0,0.0,62845.13204
2023,Brandon Generating Station,Manitoba,Fossil-Fuel Electric Power Generation,Manitoba Hydro,45084.5423,311.981572,304.713695,0.0,0.0,28.67,45729.90757
2023,Brazeau Gas Plant,Alberta,Oil and gas extraction (except oil sands),Brazeau Gas Plant,121924.7006,7683.174996,1823.727085,0.0,0.0,0.0,131431.6027
2023,Brazeau River Gas Plant,Alberta,Oil and gas extraction (except oil sands),Keyera Corp,44528.00509,1982.00268,355.1159,0.0,0.0,0.0,46865.12367
2023,Brighton Beach Power,Ontario,Fossil-Fuel Electric Power Generation,Brighton Beach Power L.P.,301393.0395,2233.788368,2122.8991,0.0,0.0,0.0,305749.727
2023,Brock West Landfill,Ontario,Waste Treatment and Disposal,City of Toronto,10.993,55096.01737,2.20003,0.0,0.0,0.0,55109.2104
2023,Brookfield Cement Plant,Nova Scotia,Cement Manufacturing,Lafarge Canada,211928.12,1365.7504,132.2085,0.0,0.0,0.0,213426.0789
2023,Burnaby Refinery,British Columbia,Petroleum Refineries,Burnaby Refinery,403961.2533,4139.7762,953.894,0.0,0.0,0.0,409054.9235
2023,"TransCanada Pipeline, Saskatchewan",Saskatchewan,Pipeline Transportation of Natural Gas,TransCanada PipeLines Ltd.,883014.6388,67881.15404,6009.0234,0.0,0.0,0.0,956904.8162
