Reference Year,Facility Name,Facility Province,Facility Description,Reporting Company,CO2 (tonnes),CH4 (tonnes CO2e),N2O (tonnes CO2e),HFC Total (tonnes CO2e),PFC Total (tonnes CO2e),SF6 (tonnes CO2e),Total Emissions (tonnes CO2e)
2023,Brady Road Resource Management Facility,Manitoba,Waste Treatment and Disposal,Water & Waste Department,0.0,499489.984,0.0,0.0,0.0,0.0,499489.984
2023,Brandon Generating Station,Manitoba,Fossil-Fuel Electric Power Generation,Manitoba Hydro,45084.5423,311.981572,304.713695,0.0,0.0,28.67,45729.90757
2023,Faulkner Plant,Manitoba,Lime Manufacturing,Graymont Western Canada Inc.,103782.811,13.72,81.885,0.0,0.0,0.0,103878.416
2023,Canadian Kraft Paper Industries Ltd.,Manitoba,Paper (except Newsprint) Mills,Canadian Kraft Paper,51568.061,5320.630952,5649.5032,0.0,0.0,0.0,62538.19515
2023,"TransCanada Pipeline, Manitoba",Manitoba,Pipeline Transportation of Natural Gas,TransCanada PipeLines Ltd.,112342.457,87247.74772,766.46215,0.0,0.0,0.0,200356.6668
2023,"Koch Fertilizer Canada, ULC",Manitoba,Chemical Fertilizer (except Potash) Manufacturing,"Koch Fertilizer Canada, ULC",627492.594,202.132,9316.075,0.0,0.0,0.0,637010.801
2023,Summit Road Landfill,Manitoba,Waste Treatment and Disposal,Water & Waste Department,0.0,70644.0,0.0,0.0,0.0,0.0,70644.0
2023,Minnedosa Ethanol Plant,Manitoba,Other Basic Organic Chemical Manufacturing,Cenovus,78516.57395,101.497872,359.81117,0.0,0.0,0.0,78977.88299
2023,Kilcona Landfill,Manitoba,Waste Treatment and Disposal,Water & Waste Department,0.0,41199.0012,0.0,0.0,0.0,0.0,41199.0012
2023,Thompson Operations,Manitoba,Nickel-Copper Ore Mining,Thompson Operations,18354.17,78.05252,394.1504,0.0,0.0,0.0,18826.37292
2023,"Gerdau Ameristeel Corporation, Manitoba Mill",Manitoba,Iron and Steel Mills and Ferro-Alloy Manufacturing,Gerdau Long Steel North America,44983.17883,38.804136,235.763875,0.0,0.0,0.0,45257.74685
2023,Waskada 11-30-001-25 W1M,Manitoba,Oil and gas extraction (except oil sands),Waskada 11-30-001-25 W1M,31904.45,1905.96,58.3,0.0,0.0,0.0,33868.71
2023,HBMS Chisel Lake Mine,Manitoba,Copper-Zinc Ore Mining,HBMS Chisel Lake Mine,22809.57,30.6852,464.545,0.0,0.0,0.0,23304.8002
2023,CARBERRY FACTORY,Manitoba,All Other Food Manufacturing,CARBERRY FACTORY,22086.0,12.11,101.7335,0.0,0.0,0.0,22199.8435
2023,Ste. Agathe (Canola Crush Plant) Viterra,Manitoba,Oilseed Processing,Ste. Agathe (Canola Crush Plant) Viterra,12646.51826,7.10136,57.90515,0.0,0.0,0.0,12711.52477
2023,Maple Leaf Foods - Brandon,Manitoba,Hog slaughtering,Maple Leaf Foods - Brandon,24373.43,13.44,111.3,0.0,0.0,0.0,24498.17
2023,Powerhouse,Manitoba,Universities,Powerhouse,30361.0,204.4,272.95,0.0,0.0,0.0,30838.35
2023,Portage la Prairie,Manitoba,Frozen Food Manufacturing,Portage la Prairie,60282.315,2662.212,420.555,0.0,0.0,0.0,63365.082
2023,MCCAIN FOODS (CANADA) - PORTAGE LA PRAIRIE,Manitoba,Frozen Food Manufacturing,MCCAIN FOODS (CANADA) - PORTAGE LA PRAIRIE,32838.0,18.2,151.05,0.0,0.0,0.0,33007.25
2023,Gimli Plant,Manitoba,Distilleries,Gimli Plant,28935.88,17.91524,130.7245,0.0,0.0,0.0,29084.51974
2023,BUNGE CANADA - ALTONA PLANT,Manitoba,Oilseed Processing,Bunge Canada,39911.519,21.48804,177.70423,0.0,0.0,0.0,40110.71127
2023,BUNGE CANADA - HARROWBY PLANT,Manitoba,Oilseed Processing,Bunge Canada,31767.1257,18.24648,144.464485,0.0,0.0,0.0,31929.83667
2023,Prairie Green IWMF,Manitoba,Waste Treatment and Disposal,Waste Connections of Canada Inc.,1239.538,34935.04,336.55,0.0,0.0,0.0,36511.128
2023,Sinclair 03-04-008-29 W1M,Manitoba,Oil and gas extraction (except oil sands),Sinclair 03-04-008-29 W1M,10798.88,259.28,15.9,0.0,0.0,0.0,11074.06
2023,Sinclair 13-14-008-29 W1M,Manitoba,Oil and gas extraction (except oil sands),Sinclair 13-14-008-29 W1M,10304.6,320.88,21.2,0.0,0.0,0.0,10646.68
