Reference Year,Facility Description,Total Facility Emission (tonnes CO2e)
2004,Chemical Pulp Mills,190306.54
2004,Fossil-Fuel Electric Power Generation,8816804.5
2004,Lime Manufacturing,82426.81
2004,Non-Ferrous Metal (except Aluminum) Smelting and Refining,156546.33
2004,Paper (except Newsprint) Mills,348419.85
2004,Petroleum Refineries,3369187.68
2004,Steam and Air-Conditioning Supply,121689.02
2005,Chemical Pulp Mills,213813.9
2005,Fossil-Fuel Electric Power Generation,8534043.5
2005,Lime Manufacturing,84945.21
2005,Non-Ferrous Metal (except Aluminum) Smelting and Refining,168931.48
2005,Paper (except Newsprint) Mills,247830.84
2005,Petroleum Refineries,3280284.0
2005,Steam and Air-Conditioning Supply,120977.73
2006,Alkali and Chlorine Manufacturing,416.76
2006,Chemical Pulp Mills,244838.3
2006,Fossil-Fuel Electric Power Generation,6414971.5
2006,Lime Manufacturing,78060.69
2006,Non-Ferrous Metal (except Aluminum) Smelting and Refining,171636.19
2006,Paper (except Newsprint) Mills,260809.09
2006,Petroleum Refineries,2964215.0
2006,Steam and Air-Conditioning Supply,98402.48
2007,Chemical Pulp Mills,344387.92
2007,Fossil-Fuel Electric Power Generation,6895295.0
2007,Lime Manufacturing,78817.75
2007,Non-Ferrous Metal (except Aluminum) Smelting and Refining,173665.13
2007,Paper (except Newsprint) Mills,377914.73
2007,Petroleum Refineries,3041152.0
2008,Chemical Pulp Mills,263891.84
2008,Fossil-Fuel Electric Power Generation,6601458.3
2008,Lime Manufacturing,73311.52
2008,Non-Ferrous Metal (except Aluminum) Smelting and Refining,200243.86
2008,Paper (except Newsprint) Mills,165018.17
2008,Petroleum Refineries,2982142.0
2009,Chemical Pulp Mills,290703.26
2009,Fossil-Fuel Electric Power Generation,6449708.0
2009,Lime Manufacturing,56667.78
2009,Non-Ferrous Metal (except Aluminum) Smelting and Refining,213721.66
2009,Paper (except Newsprint) Mills,117251.15
2009,Paperboard Mills,58587.99
2009,Petroleum Refineries,2931753.96
2010,Chemical Pulp Mills,238691.7
2010,Fossil-Fuel Electric Power Generation,4533340.0
2010,Lead-Zinc Ore Mining,58138.0
2010,Lime Manufacturing,46279.77
2010,Natural Gas Distribution,49124.33
2010,Non-Ferrous Metal (except Aluminum) Smelting and Refining,216986.97
2010,Paper (except Newsprint) Mills,106726.06
2010,Paperboard Mills,60972.22
2010,Petroleum Refineries,2918594.8
2011,Chemical Pulp Mills,249974.23
2011,Fossil-Fuel Electric Power Generation,4039561.0
2011,Lead-Zinc Ore Mining,63580.37
2011,Natural Gas Distribution,79249.5
2011,Non-Ferrous Metal (except Aluminum) Smelting and Refining,195089.22
2011,Paper (except Newsprint) Mills,89898.83
2011,Paperboard Mills,40835.58
2011,Petroleum Refineries,3104396.42
2012,Chemical Pulp Mills,255931.57
2012,Fossil-Fuel Electric Power Generation,3502960.0
2012,Lead-Zinc Ore Mining,59709.79
2012,Natural Gas Distribution,55057.13
2012,Non-Ferrous Metal (except Aluminum) Smelting and Refining,190064.61
2012,Paper (except Newsprint) Mills,92911.78
2012,Paperboard Mills,56831.02
2012,Petroleum Refineries,2999405.7
2013,Chemical Pulp Mills,242070.04
2013,Fossil-Fuel Electric Power Generation,3726278.55
2013,Lead-Zinc Ore Mining,24392.82
2013,Natural Gas Distribution,155876.93
2013,Non-Ferrous Metal (except Aluminum) Smelting and Refining,218044.4
2013,Paper (except Newsprint) Mills,98262.67
2013,Paperboard Mills,58424.68
2013,Petroleum Refineries,2994615.45
2014,Chemical Pulp Mills,243831.6
