Reference Year,Facility Description,Total Facility Emission (tonnes CO2e)
2004,Conventional Oil and Gas Extraction,1863036.84
2004,Fossil-Fuel Electric Power Generation,1299288.83
2004,Iron Ore Mining,986202.77
2004,Newsprint Mills,120157.64
2004,Petroleum Refineries,1446485.87
2005,Conventional Oil and Gas Extraction,1837221.57
2005,Fossil-Fuel Electric Power Generation,1068314.34
2005,Iron Ore Mining,1258021.95
2005,Newsprint Mills,128000.55
2005,Petroleum Refineries,1140998.0
2006,Conventional Oil and Gas Extraction,1946848.33
2006,Fossil-Fuel Electric Power Generation,628725.63
2006,Iron Ore Mining,1194615.53
2006,Newsprint Mills,120986.06
2006,Petroleum Refineries,1098807.0
2007,Conventional Oil and Gas Extraction,2029843.08
2007,Fossil-Fuel Electric Power Generation,1018156.65
2007,Iron Ore Mining,1097521.7
2007,Newsprint Mills,102974.21
2007,Petroleum Refineries,1212304.0
2008,Conventional Oil and Gas Extraction,1798080.94
2008,Fossil-Fuel Electric Power Generation,866871.5
2008,Iron Ore Mining,1350233.41
2008,Petroleum Refineries,1285356.0
2009,Conventional Oil and Gas Extraction,1621238.99
2009,Fossil-Fuel Electric Power Generation,773753.23
2009,Iron Ore Mining,861253.99
2009,Nickel-Copper Ore Mining,60287.9
2009,Petroleum Refineries,1083460.0
2010,Conventional Oil and Gas Extraction,1586431.39
2010,Fossil-Fuel Electric Power Generation,671621.29
2010,Iron Ore Mining,1223629.74
2010,Nickel-Copper Ore Mining,66921.62
2010,Petroleum Refineries,1019300.0
2011,Conventional Oil and Gas Extraction,1512926.39
2011,Fossil-Fuel Electric Power Generation,733803.78
2011,Iron Ore Mining,1041616.98
2011,Nickel-Copper Ore Mining,87687.1
2011,Petroleum Refineries,897208.0
2012,Conventional Oil and Gas Extraction,959329.68
2012,Fossil-Fuel Electric Power Generation,715491.49
2012,Iron Ore Mining,1176297.9
2012,Nickel-Copper Ore Mining,84119.6
2012,Oil and gas extraction (except oil sands),303061.74
2012,Petroleum Refineries,1112194.0
2013,Conventional Oil and Gas Extraction,1500262.18
2013,Fossil-Fuel Electric Power Generation,796401.72
2013,Iron Ore Mining,1074762.53
