Facility Description,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Conventional Oil and Gas Extraction,1863036.84,1837221.57,1946848.33,2029843.08,1798080.94,1621238.99,1586431.39,1512926.39,959329.68,1500262.18,1643200.0,1486910.45,1577474.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Defence Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21042.16,21664.09,20560.98,17766.31,18351.72,19138.41,17367.63
Fossil-Fuel Electric Power Generation,1299288.83,1068314.34,628725.63,1018156.65,866871.5,773753.23,671621.29,733803.78,715491.49,796401.72,1096602.46,1181870.6,1440254.34,1472759.11,968271.0,1090278.1,845095.63,648408.58,655396.65,608887.8
Iron Ore Mining,986202.77,1258021.95,1194615.53,1097521.7,1350233.41,861253.99,1223629.74,1041616.98,1176297.9,1074762.53,908163.6,992386.0,987735.0,1041177.84,824361.62,981643.55,968867.48,1023697.14,977653.41,942615.84
Newsprint Mills,120157.64,128000.55,120986.06,102974.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50952.86,57497.34,49766.14,35349.74,41413.26,34242.14,33034.02,34787.97
Nickel-Copper Ore Mining,0.0,0.0,0.0,0.0,0.0,60287.9,66921.62,87687.1,84119.6,87612.45,84325.32,87261.13,87048.54,88265.23,79244.06,99640.18,110891.94,136886.69,148256.29,173788.27
Non-Ferrous Metal (except Aluminum) Smelting and Refining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50294.84,31304.13,40914.63,42221.45,45605.1,46192.61,41731.45,50091.11,41037.66
Oil and Gas Contract Drilling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53018.05,71398.4,61708.17,0.0,0.0,0.0,0.0
Oil and gas extraction (except oil sands),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303061.74,0.0,0.0,0.0,0.0,1666296.51,1996531.53,1902047.0,1478914.88,1350160.27,1202091.75,1272356.32
Other Basic Organic Chemical Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47987.05,24085.71
Petroleum Refineries,1446485.87,1140998.0,1098807.0,1212304.0,1285356.0,1083460.0,1019300.0,897208.0,1112194.0,917369.5,952889.38,1012508.26,1266919.65,1347222.28,1358007.96,1440937.64,302708.97,82177.56,0.0,0.0
Waste Treatment and Disposal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36422.84,43764.82,41534.55,34950.78,55907.1,45233.59,74450.32
