Reference Year,Facility Description,Total Facility Emission (tonnes CO2e)
2004,All Other Basic Inorganic Chemical Manufacturing,411998.03
2004,Automobile and Light-Duty Motor Vehicle Manufacturing,388470.03
2004,Cement Manufacturing,6251393.27
2004,Chemical Fertilizer (except Potash) Manufacturing,545149.06
2004,Chemical Pulp Mills,1112253.99
2004,Conventional Oil and Gas Extraction,190477.96
2004,Fossil-Fuel Electric Power Generation,31547306.94
2004,Glass Manufacturing,103886.34
2004,Iron and Steel Mills and Ferro-Alloy Manufacturing,16662036.05
2004,Lime Manufacturing,1487026.58
2004,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,3468.46
2004,Natural Gas Distribution,728223.64
2004,Newsprint Mills,108235.06
2004,Non-Ferrous Metal (except Aluminum) Smelting and Refining,1675000.31
2004,Other Basic Organic Chemical Manufacturing,3205480.67
2004,Other Petroleum and Coal Products Manufacturing,457171.06
2004,Paper (except Newsprint) Mills,724904.52
2004,Petrochemical Manufacturing,2476915.64
2004,Petroleum Refineries,5560068.3
2004,Pipeline Transportation of Natural Gas,3068095.28
2004,Resin and Synthetic Rubber Manufacturing,91469.94
2004,Waste Treatment and Disposal,1102173.22
2004,Wet Corn Milling,142364.97
2005,Aerospace Product and Parts Manufacturing,1272.71
2005,All Other Basic Inorganic Chemical Manufacturing,449366.31
2005,Automobile and Light-Duty Motor Vehicle Manufacturing,381001.71
2005,Cement Manufacturing,6294698.58
2005,Chemical Fertilizer (except Potash) Manufacturing,561655.95
2005,Chemical Pulp Mills,563960.36
2005,Conventional Oil and Gas Extraction,181071.86
2005,Distilleries,106948.8
2005,Fossil-Fuel Electric Power Generation,34941529.45
2005,Glass Manufacturing,105430.81
2005,Iron and Steel Mills and Ferro-Alloy Manufacturing,15257861.16
2005,Lime Manufacturing,1231967.49
2005,Motor Vehicle Metal Stamping,0.66
2005,Natural Gas Distribution,674376.0
2005,Newsprint Mills,111307.67
2005,Non-Ferrous Metal (except Aluminum) Smelting and Refining,1523991.55
2005,Other Basic Organic Chemical Manufacturing,2693399.97
2005,Other Petroleum and Coal Products Manufacturing,430564.58
2005,Paper (except Newsprint) Mills,697768.21
2005,Petrochemical Manufacturing,1875318.5
2005,Petroleum Refineries,5022878.0
2005,Pipeline Transportation of Natural Gas,3629156.36
2005,Resin and Synthetic Rubber Manufacturing,71149.4
2005,Waste Treatment and Disposal,1787063.76
2005,Wet Corn Milling,128561.98
2006,All Other Basic Inorganic Chemical Manufacturing,429175.49
2006,Automobile and Light-Duty Motor Vehicle Manufacturing,279873.99
2006,Cement Manufacturing,6253991.0
2006,Chemical Fertilizer (except Potash) Manufacturing,607256.22
2006,Chemical Pulp Mills,323353.47
2006,Conventional Oil and Gas Extraction,161792.9
2006,Fossil-Fuel Electric Power Generation,29512220.03
2006,Glass Manufacturing,209721.0
2006,Industrial Gas Manufacturing,199084.03
2006,Iron and Steel Mills and Ferro-Alloy Manufacturing,14898173.54
2006,Lime Manufacturing,1352539.48
2006,Motor Vehicle Metal Stamping,0.66
2006,Natural Gas Distribution,668164.66
2006,Non-Ferrous Metal (except Aluminum) Smelting and Refining,1626568.12
2006,Other Basic Organic Chemical Manufacturing,1553658.97
2006,Other Petroleum and Coal Products Manufacturing,545865.12
2006,Other Support Activities for Air Transportation,115856.84
