Reference Year,Facility Description,Total Facility Emission (tonnes CO2e)
2004,Frozen Food Manufacturing,107000.0
2005,Frozen Food Manufacturing,104326.5
2006,Frozen Food Manufacturing,99608.03
2007,Frozen Food Manufacturing,101962.46
2008,Frozen Food Manufacturing,98589.0
2009,Frozen Food Manufacturing,74103.0
2010,Frozen Food Manufacturing,62811.0
2011,Frozen Food Manufacturing,65117.22
2012,Frozen Food Manufacturing,52648.95
2013,Frozen Food Manufacturing,59519.14
2014,Frozen Food Manufacturing,55466.36
2015,Frozen Food Manufacturing,50305.41
2016,Frozen Food Manufacturing,55078.68
2017,Fossil-Fuel Electric Power Generation,12976.6
2017,Frozen Food Manufacturing,58083.78
2017,Waste Treatment and Disposal,27765.92
2018,Fossil-Fuel Electric Power Generation,5056.7
2018,Frozen Food Manufacturing,56274.4
2018,Steam and Air-Conditioning Supply,5034.82
2018,Waste Treatment and Disposal,29216.21
2019,Fossil-Fuel Electric Power Generation,3292.41
2019,Frozen Food Manufacturing,81719.6
2020,Fossil-Fuel Electric Power Generation,2296.12
2020,Frozen Food Manufacturing,78533.05
2021,Fossil-Fuel Electric Power Generation,3048.71
2021,Frozen Food Manufacturing,92083.99
2022,Fossil-Fuel Electric Power Generation,2662.28
2022,Frozen Food Manufacturing,49483.94
2023,Fossil-Fuel Electric Power Generation,3036.16
2023,Frozen Food Manufacturing,50131.06
