Reference Year,Facility Description,Total Facility Emission (tonnes CO2e)
2004,All Other Basic Inorganic Chemical Manufacturing,510512.92
2004,Cement Manufacturing,2369986.0
2004,Chemical Pulp Mills,333663.77
2004,Fossil-Fuel Electric Power Generation,1469032.2
2004,Glass Manufacturing,124313.0
2004,Iron Ore Mining,1591934.71
2004,Iron and Steel Mills and Ferro-Alloy Manufacturing,2046843.68
2004,Lime Manufacturing,977080.2
2004,Mechanical Pulp Mills,102796.72
2004,Newsprint Mills,565074.22
2004,Nickel-Copper Ore Mining,127622.0
2004,Non-Ferrous Metal (except Aluminum) Smelting and Refining,1099391.59
2004,Other Basic Organic Chemical Manufacturing,195917.48
2004,Paper (except Newsprint) Mills,343573.77
2004,Paperboard Mills,452569.66
2004,Petrochemical Manufacturing,635380.99
2004,Petroleum Refineries,3523883.0
2004,Primary Production of Alumina and Aluminum,7200086.5
2005,All Other Basic Inorganic Chemical Manufacturing,367344.49
2005,Cement Manufacturing,2359873.15
2005,Chemical Pulp Mills,233320.71
2005,Fossil-Fuel Electric Power Generation,456019.57
2005,Glass Manufacturing,94563.0
2005,Iron Ore Mining,1441468.7
2005,Iron and Steel Mills and Ferro-Alloy Manufacturing,1831748.83
2005,Lime Manufacturing,966861.31
2005,Mechanical Pulp Mills,112371.14
2005,Newsprint Mills,432989.2
2005,Nickel-Copper Ore Mining,129398.02
2005,Non-Ferrous Metal (except Aluminum) Smelting and Refining,268459.62
2005,Other Basic Organic Chemical Manufacturing,182160.25
2005,Paper (except Newsprint) Mills,324579.42
2005,Paperboard Mills,360736.07
2005,Petrochemical Manufacturing,597174.61
2005,Petroleum Refineries,3721121.38
2005,Primary Production of Alumina and Aluminum,8068677.88
2005,Tire Manufacturing,26.48
2005,Waste Treatment and Disposal,363283.21
2006,All Other Basic Inorganic Chemical Manufacturing,330379.64
2006,Cement Manufacturing,2480820.0
2006,Chemical Pulp Mills,207515.54
2006,Fossil-Fuel Electric Power Generation,826065.68
2006,Glass Manufacturing,100271.0
2006,Iron Ore Mining,1537578.36
2006,Iron and Steel Mills and Ferro-Alloy Manufacturing,1790924.07
2006,Lime Manufacturing,870592.15
2006,Major Kitchen Appliance Manufacturing,110.0
2006,Mechanical Pulp Mills,110070.23
2006,Newsprint Mills,295110.59
2006,Nickel-Copper Ore Mining,136422.83
2006,Non-Ferrous Metal (except Aluminum) Smelting and Refining,254334.96
2006,Other Basic Organic Chemical Manufacturing,91025.15
2006,Paper (except Newsprint) Mills,284876.19
2006,Paperboard Mills,285942.73
2006,Petrochemical Manufacturing,610079.43
2006,Petroleum Refineries,4050697.18
2006,Polystyrene Foam Product Manufacturing,48.44
2006,Primary Production of Alumina and Aluminum,7923637.46
2006,Waste Treatment and Disposal,278367.61
2007,All Other Basic Inorganic Chemical Manufacturing,195183.17
2007,Cement Manufacturing,2360166.08
2007,Chemical Pulp Mills,227684.97
2007,Fossil-Fuel Electric Power Generation,1951765.83
2007,Glass Manufacturing,100766.0
2007,Iron Ore Mining,1773485.2
2007,Iron and Steel Mills and Ferro-Alloy Manufacturing,2010621.78
2007,Lime Manufacturing,875924.54
2007,Mechanical Pulp Mills,100659.42
2007,Newsprint Mills,266394.7
2007,Nickel-Copper Ore Mining,155706.96
2007,Non-Ferrous Metal (except Aluminum) Smelting and Refining,32316.61
2007,Other Basic Organic Chemical Manufacturing,134043.5
2007,Paper (except Newsprint) Mills,246823.82
2007,Paperboard Mills,326798.7
2007,Petrochemical Manufacturing,612308.13
2007,Petroleum Refineries,4241101.43
2007,Primary Production of Alumina and Aluminum,7546078.85
2007,Waste Treatment and Disposal,266133.0
2008,All Other Basic Inorganic Chemical Manufacturing,186189.2
2008,All Other Waste Management Services,129634.68
2008,Cement Manufacturing,2145991.29
2008,Chemical Pulp Mills,106094.02
2008,Fossil-Fuel Electric Power Generation,374549.03
2008,Iron Ore Mining,1673577.6
2008,Iron and Steel Mills and Ferro-Alloy Manufacturing,1936457.46
2008,Lime Manufacturing,857198.23
2008,Major Kitchen Appliance Manufacturing,10954.72
2008,Newsprint Mills,83155.64
2008,Nickel-Copper Ore Mining,142427.55
2008,Other Basic Organic Chemical Manufacturing,153927.92
2008,Paper (except Newsprint) Mills,178725.26
2008,Paperboard Mills,284065.41
2008,Petrochemical Manufacturing,328483.8
2008,Petroleum Refineries,3871703.8
2008,Primary Production of Alumina and Aluminum,7383867.03
2008,Waste Treatment and Disposal,281036.0
2009,All Other Basic Inorganic Chemical Manufacturing,159173.77
2009,All Other Waste Management Services,113689.24
2009,Cement Manufacturing,2087801.88
2009,Chemical Pulp Mills,130352.44
2009,Fossil-Fuel Electric Power Generation,577190.41
2009,Glass Manufacturing,72487.92
2009,Gold and Silver Ore Mining,6800.81
2009,Iron Ore Mining,1223178.98
2009,Iron and Steel Mills and Ferro-Alloy Manufacturing,1448004.53
2009,Lime Manufacturing,755381.2
2009,Mechanical Pulp Mills,64.66
2009,Natural Gas Distribution,86203.49
2009,Newsprint Mills,72104.4
2009,Nickel-Copper Ore Mining,136107.96
2009,Non-Ferrous Foundries (except Die-Casting),167188.21
2009,Non-Ferrous Metal (except Aluminum) Smelting and Refining,61247.61
2009,Other Basic Organic Chemical Manufacturing,194799.99
2009,Other Electric Power Generation,301821.0
2009,Paper (except Newsprint) Mills,426732.52
2009,Paperboard Mills,288530.77
2009,Particle Board and Fibreboard Mills,3666.0
2009,Petrochemical Manufacturing,197877.85
2009,Petroleum Refineries,3886509.19
2009,Polystyrene Foam Product Manufacturing,278160.27
2009,Primary Production of Alumina and Aluminum,6972616.45
2009,Sewage Treatment Facilities,80952.26
2009,Sugar Manufacturing,78591.56
2009,Universities,39876.67
2009,Waste Treatment and Disposal,702976.6
2010,All Other Basic Inorganic Chemical Manufacturing,193287.37
2010,All Other Miscellaneous Chemical Product Manufacturing,156.0
2010,All Other Waste Management Services,213271.8
2010,Cement Manufacturing,2170787.95
2010,Chemical Pulp Mills,199041.89
2010,Fossil-Fuel Electric Power Generation,364216.79
2010,Glass Manufacturing,64546.89
2010,Iron Ore Mining,1504196.63
2010,Iron and Steel Mills and Ferro-Alloy Manufacturing,2007140.7
2010,Lime Manufacturing,808335.84
2010,Mechanical Pulp Mills,61.35
2010,Natural Gas Distribution,96186.45
2010,Newsprint Mills,36978.89
2010,Nickel-Copper Ore Mining,134907.64
2010,Non-Ferrous Foundries (except Die-Casting),168741.95
2010,Non-Ferrous Metal (except Aluminum) Smelting and Refining,55767.85
2010,Other Basic Organic Chemical Manufacturing,207698.27
2010,Paper (except Newsprint) Mills,403258.71
2010,Paperboard Mills,324156.22
2010,Particle Board and Fibreboard Mills,2863.49
2010,Petrochemical Manufacturing,282014.28
2010,Petroleum Refineries,3425156.42
2010,Polystyrene Foam Product Manufacturing,568658.23
2010,Primary Production of Alumina and Aluminum,6747860.15
2010,Sawmills (except Shingle and Shake Mills),3402.24
2010,Sewage Treatment Facilities,66477.55
2010,Sugar Manufacturing,73727.6
2010,Universities,39228.26
2010,Urethane and Other Foam Product (except Polystyrene) Manufacturing,251.25
2010,Waste Treatment and Disposal,803084.97
2011,All Other Basic Inorganic Chemical Manufacturing,200918.27
2011,All Other Miscellaneous Chemical Product Manufacturing,455.0
2011,Cement Manufacturing,2254209.15
2011,Chemical Pulp Mills,252360.39
2011,Fossil-Fuel Electric Power Generation,377522.68
2011,Glass Manufacturing,62966.18
2011,Gold and Silver Ore Mining,82099.74
2011,Iron Ore Mining,1471500.41
2011,Iron and Steel Mills and Ferro-Alloy Manufacturing,2062027.88
2011,Lime Manufacturing,882154.46
2011,Major Kitchen Appliance Manufacturing,5629.05
2011,Mechanical Pulp Mills,47532.31
2011,Natural Gas Distribution,78420.64
2011,Nickel-Copper Ore Mining,140124.19
2011,Non-Ferrous Foundries (except Die-Casting),176934.06
2011,Non-Ferrous Metal (except Aluminum) Smelting and Refining,52044.85
2011,Other Basic Organic Chemical Manufacturing,208188.48
2011,Other Electric Power Generation,60880.21
2011,Other Rubber Product Manufacturing,5802.0
2011,Paper (except Newsprint) Mills,378387.44
2011,Paperboard Mills,297877.09
2011,Particle Board and Fibreboard Mills,3569.46
2011,Petrochemical Manufacturing,320997.03
2011,Petroleum Refineries,2507190.67
2011,Polystyrene Foam Product Manufacturing,584649.37
2011,Primary Production of Alumina and Aluminum,6751104.75
2011,Sewage Treatment Facilities,73763.73
2011,Sugar Manufacturing,71409.93
2011,Universities,37952.33
2011,Urethane and Other Foam Product (except Polystyrene) Manufacturing,251.25
2011,Waste Treatment and Disposal,877736.39
2012,All Other Basic Inorganic Chemical Manufacturing,174786.49
2012,All Other Waste Management Services,465938.31
2012,Cement Manufacturing,2522582.66
2012,Chemical Pulp Mills,309104.0
2012,Fossil-Fuel Electric Power Generation,373362.81
2012,Glass Manufacturing,71359.41
2012,Gold and Silver Ore Mining,124157.39
2012,Industrial Gas Manufacturing,56977.65
2012,Iron Ore Mining,1437798.73
2012,Iron and Steel Mills and Ferro-Alloy Manufacturing,2269608.86
