Facility Description,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aerospace Product and Parts Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60783.36,75197.53,73911.6,57012.93,62421.43,81341.58,81879.93
Agricultural Implement Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.81,1436.41,1111.65,0.0,0.0,990.12,719.0
Alkali and Chlorine Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14553.77,13800.39,19063.15,15373.69,16017.91,15524.0,15681.62
All Other Basic Inorganic Chemical Manufacturing,510512.92,367344.49,330379.64,195183.17,186189.2,159173.77,193287.37,200918.27,174786.49,112267.8,166325.28,151009.46,182626.9,236704.18,238244.36,234956.29,233026.07,243009.54,249396.04,212814.31
All Other Converted Paper Product Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15971.22,16663.33,0.0,0.0,0.0,0.0,0.0
All Other Food Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33579.28,37680.28,31465.71,30704.4,33076.24,44088.15,39649.59
All Other Metal Ore Mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32616.41,41666.04,13725.66,12032.06,13660.12,14233.96,39724.6
All Other Miscellaneous Chemical Product Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,156.0,455.0,0.0,0.0,0.0,0.0,0.0,30007.56,30555.54,30450.43,25523.27,31575.29,33803.43,300300.16
All Other Miscellaneous Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12718.09,22678.08,37749.08,22275.35,26588.63,32968.89,21675.73
All Other Non-Metallic Mineral Product Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9554.0,16092.0,13125.0,21545.0,22856.65,21576.3,21567.42,18931.74,12875.36,9435.78
All Other Waste Management Services,0.0,0.0,0.0,0.0,129634.68,113689.24,213271.8,0.0,465938.31,533574.88,510713.61,306131.54,315426.91,245345.74,264360.01,235820.77,224492.84,202726.12,169090.24,247500.54
"Aluminum Rolling, Drawing, Extruding and Alloying",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14433.38,14388.21,15154.07,14378.98,13588.13,0.0,0.0,0.0
Animal (except Poultry) Slaughtering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10463.24,12877.82,13668.66,0.0,15411.01,16652.74,18127.36
Asphalt Shingle and Coating Material Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15576.38,15532.87,15773.7,13961.22,14627.47,14138.52,12581.69
Breweries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34106.32,29404.42,33507.95,32115.98,24214.58,16758.01,12340.17
"Butter, Cheese, and Dry and Condensed Dairy Products Manufacturing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85479.82,106592.57,108662.62,106814.56,107426.3,112068.8,108468.05
Cement Manufacturing,2369986.0,2359873.15,2480820.0,2360166.08,2145991.29,2087801.88,2170787.95,2254209.15,2522582.66,2027452.2,2178163.55,2320313.74,2256762.63,2741497.9,2876357.03,3396305.19,3105878.49,3309039.86,2907347.11,3413546.1
Chemical Pulp Mills,333663.77,233320.71,207515.54,227684.97,106094.02,130352.44,199041.89,252360.39,309104.0,292753.31,272524.55,351968.69,358904.56,345690.35,357959.88,367553.79,400649.01,484202.94,431466.96,338435.07
Cold-Rolled Steel Shape Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17569.1,19840.32,18779.21,13881.53,16585.77,15555.04,15246.67
"Copper Rolling, Drawing, Extruding and Alloying",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16342.38,18937.59,21818.88,0.0,0.0,0.0,0.0
Copper-Zinc Ore Mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6539.58,0.0,18509.63,18204.4,19635.53,16885.36,17956.0,0.0,0.0
Defence Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27721.01,22319.84,24170.7,25560.9,21507.84,21065.2,22690.25
Diamond Mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62772.7,65479.3,72374.91,39822.78,63116.08,67201.85,57679.07
Distilleries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32417.28,33445.98,31087.41,35660.11,35391.48,127.9,94.19
Forging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54576.51,41968.11,41070.29,51351.66,47055.63,39100.99,34154.49,43089.11,43151.57,37274.14
Fossil-Fuel Electric Power Generation,1469032.2,456019.57,826065.68,1951765.83,374549.03,577190.41,364216.79,377522.68,373362.81,260798.78,239285.42,221800.73,216417.9,232449.56,246965.48,250620.24,245089.94,213957.67,215474.12,217217.37
General (except Paediatric) Hospitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23696.34,25332.38,23683.53,23820.02,23894.39,24323.79
Glass Manufacturing,124313.0,94563.0,100271.0,100766.0,0.0,72487.92,64546.89,62966.18,71359.41,72861.11,75355.79,75439.8,69841.83,70646.6,71390.57,67714.31,74163.49,64873.76,67771.16,60990.29
Glass Product Manufacturing from Purchased Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9686.11,9576.98,10467.52
Gold and Silver Ore Mining,0.0,0.0,0.0,0.0,0.0,6800.81,0.0,82099.74,124157.39,135417.51,152279.46,152080.53,160487.24,290611.65,314997.37,329609.98,308994.53,332710.94,338164.47,360521.77
Gypsum Product Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35410.55,39036.85,41188.85,69847.06,69908.57,70941.38,69862.27
Industrial Gas Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56977.65,52504.68,0.0,53959.68,51590.7,128170.38,101835.62,84489.43,70871.63,86514.11,95103.59,79798.83
Iron Foundries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17097.6,17478.46,17176.76,17642.08,17664.07,18370.47,15991.0
