Reference Year,Facility Description,Total Facility Emission (tonnes CO2e)
2004,Chemical Fertilizer (except Potash) Manufacturing,548641.3
2004,Chemical Pulp Mills,150389.9
2004,Fossil-Fuel Electric Power Generation,15089816.74
2004,Iron and Steel Mills and Ferro-Alloy Manufacturing,208794.69
2004,Natural Gas Distribution,249660.94
2004,Non-Conventional Oil Extraction,1569610.28
2004,Pesticide and Other Agricultural Chemical Manufacturing,32.9
2004,Petroleum Refineries,1475662.9
2004,Pipeline Transportation of Natural Gas,2798006.32
2004,Potash Mining,575030.35
2005,Chemical Fertilizer (except Potash) Manufacturing,587085.5
2005,Chemical Pulp Mills,132312.56
2005,Conventional Oil and Gas Extraction,151396.38
2005,Fossil-Fuel Electric Power Generation,14447861.65
2005,Iron and Steel Mills and Ferro-Alloy Manufacturing,210887.37
2005,Lignite Coal Mining,136484.82
2005,Natural Gas Distribution,234706.98
2005,Non-Conventional Oil Extraction,1928379.61
2005,Petroleum Refineries,1370320.36
2005,Pipeline Transportation of Natural Gas,2934402.96
2005,Potash Mining,566341.09
2006,Chemical Fertilizer (except Potash) Manufacturing,510367.7
2006,Chemical Pulp Mills,30009.5
2006,Conventional Oil and Gas Extraction,132841.63
2006,Fossil-Fuel Electric Power Generation,14163756.52
2006,Iron and Steel Mills and Ferro-Alloy Manufacturing,213086.8
2006,Lignite Coal Mining,109750.08
2006,Natural Gas Distribution,234058.72
2006,Non-Conventional Oil Extraction,2135702.51
2006,Pesticide and Other Agricultural Chemical Manufacturing,2212.07
2006,Petroleum Refineries,1565222.56
2006,Pipeline Transportation of Natural Gas,2570468.24
2006,Potash Mining,545157.79
2007,All Other Miscellaneous Manufacturing,1409.29
2007,Chemical Fertilizer (except Potash) Manufacturing,502168.6
2007,Conventional Oil and Gas Extraction,510565.61
2007,Fossil-Fuel Electric Power Generation,14809493.52
2007,Iron and Steel Mills and Ferro-Alloy Manufacturing,207964.84
2007,Lignite Coal Mining,117027.44
2007,Natural Gas Distribution,228170.28
2007,Non-Conventional Oil Extraction,2167065.55
2007,Other Basic Organic Chemical Manufacturing,29248.04
2007,Pesticide and Other Agricultural Chemical Manufacturing,2412.71
2007,Petroleum Refineries,1525802.42
2007,Pipeline Transportation of Natural Gas,2381756.99
2007,Potash Mining,624812.83
2008,All Other Miscellaneous Manufacturing,2136.86
2008,Chemical Fertilizer (except Potash) Manufacturing,556280.2
2008,Conventional Oil and Gas Extraction,322380.88
2008,Fossil-Fuel Electric Power Generation,14825692.38
2008,Iron and Steel Mills and Ferro-Alloy Manufacturing,214953.52
2008,Lignite Coal Mining,120597.99
2008,Natural Gas Distribution,231195.92
2008,Non-Conventional Oil Extraction,1726029.92
2008,Other Basic Organic Chemical Manufacturing,22651.42
2008,Pesticide and Other Agricultural Chemical Manufacturing,2513.59
2008,Petroleum Refineries,1426760.48
2008,Pipeline Transportation of Natural Gas,1934374.31
2008,Potash Mining,632446.91
