Facility Description,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alkali and Chlorine Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12516.15,13545.21,13652.58,12969.6,13133.71,12827.97,11418.62
All Other Food Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41538.27,48460.51,0.0,0.0,0.0,0.0,0.0
All Other Miscellaneous Manufacturing,0.0,0.0,0.0,1409.29,2136.86,59932.89,75009.94,88746.69,81688.67,76993.29,67104.73,73839.93,73735.01,74937.7,0.0,0.0,0.0,0.0,0.0,0.0
All Other Waste Management Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21591.0,79768.1,88251.88,88226.22,89465.86,94293.34,103480.63,87133.88,86188.45
Chemical Fertilizer (except Potash) Manufacturing,548641.3,587085.5,510367.7,502168.6,556280.2,519964.8,672628.45,649581.35,623490.0,658935.87,645597.11,604916.0,705084.0,594977.0,527192.42,573135.69,550602.24,565085.43,527545.7,757107.66
Chemical Pulp Mills,150389.9,132312.56,30009.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conventional Oil and Gas Extraction,0.0,151396.38,132841.63,510565.61,322380.88,88309.51,151641.08,68706.02,96487.28,142311.16,123864.15,243203.58,151893.23,42397.56,60947.33,62730.56,39941.35,55675.68,65556.39,0.0
Fat and Oil Refining and Blending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43344.66,41296.2,0.0,0.0,0.0,0.0,0.0
Fossil-Fuel Electric Power Generation,15089816.74,14447861.65,14163756.52,14809493.52,14825692.38,15401580.28,15299609.23,14873832.86,15512415.09,15096678.73,14996993.07,15566913.7,15299871.3,15955441.0,16086356.84,15806819.7,12755375.69,14931694.79,13753485.35,13625403.09
Glass Product Manufacturing from Purchased Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10215.27,10062.26,10164.51,10708.93,9602.62,9233.88,9711.07
Gold and Silver Ore Mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10441.9,12099.19,14149.16,12925.76,18234.21,15057.89,13324.19
In-situ oil sands extraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117156.93,191133.31,94657.42,48251.25,46772.51,48654.26,48197.24
Iron and Steel Mills and Ferro-Alloy Manufacturing,208794.69,210887.37,213086.8,207964.84,214953.52,170248.43,224481.18,214532.8,211998.63,210587.7,220924.47,214771.5,179146.98,229010.52,277530.27,235205.79,193926.73,232653.94,243260.3,213766.66
Lignite Coal Mining,0.0,136484.82,109750.08,117027.44,120597.99,179669.07,269665.52,272601.29,165095.09,110504.86,108176.9,170848.67,166045.27,221867.85,161611.06,152102.34,151003.41,161542.54,152213.4,62608.61
Mechanical Pulp Mills,0.0,0.0,0.0,0.0,0.0,58262.3,69452.59,67216.46,92596.01,74952.68,77352.99,82078.38,95150.11,91534.99,67720.18,75124.52,84851.5,78755.73,68655.41,69006.9
Natural Gas Distribution,249660.94,234706.98,234058.72,228170.28,231195.92,254564.92,257711.77,260692.34,240613.25,230428.54,231266.07,149596.28,63210.8,64057.78,60055.72,85874.35,86985.78,89421.07,75350.96,73501.24
Non-Conventional Oil Extraction,1569610.28,1928379.61,2135702.51,2167065.55,1726029.92,1760129.37,1650284.42,1814286.33,2053568.24,2483099.75,2490641.76,2749406.92,3086845.52,68784.35,70491.49,50786.0,50327.48,90615.16,83548.64,0.0
Oil and gas extraction (except oil sands),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195999.07,5828945.04,5611905.57,5562296.0,5410573.85,5792260.36,6263690.36,6622018.18
Oilseed Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53554.43,56175.71,57827.2,73172.45,73830.66,104941.96,110622.04,214673.37,213008.34,206489.74,192990.33,214619.04
Other Basic Organic Chemical Manufacturing,0.0,0.0,0.0,29248.04,22651.42,31727.52,21648.67,0.0,0.0,0.0,0.0,0.0,0.0,57372.42,131581.79,125999.04,127992.39,119025.61,123390.64,134615.72
Other Petroleum and Coal Products Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10136.51,9995.78,70281.84
