Year,Emission (tonnes CO2e)
2005,22700179.28
2006,22427777.12864
2007,22155374.977280002
2008,21882972.82592
2009,21610570.67456
2010,21338168.5232
2011,21065766.37184
2012,20793364.220480002
2013,20520962.06912
2014,20248559.91776
2015,19976157.766400002
2016,19703755.61504
2017,19431353.46368
2018,19158951.31232
2019,18886549.16096
2020,18614147.0096
2021,18341744.85824
2022,18069342.70688
2023,17796940.555519998
2024,17524538.40416
2025,17252136.2528
2026,16979734.101439998
2027,16707331.95008
2028,16434929.798719998
2029,16162527.64736
2030,15890125.496
